VendorName,SegmentCode,CompanyType,HQRegion,EmployeeBand,PrimaryOffering,WebsiteURL,SourceURL,SourceType,DateVerified,QueryUsed,Notes
OpenAI Assistants API,foundation_model_providers,independent_isv,na,1k_4k,API for orchestrating multi-modal assistants on OpenAI foundation models,https://platform.openai.com/docs/assistants/overview,https://platform.openai.com/docs/assistants/overview,html,2025-09-27,OpenAI Assistants API,Product documentation confirms capabilities; HQ and headcount reference https://en.wikipedia.org/wiki/OpenAI.
Anthropic Claude,foundation_model_providers,startup,na,1k_4k,Claude family of frontier reasoning and multimodal foundation models,https://www.anthropic.com/,https://www.anthropic.com/claude,html,2025-09-27,Anthropic Claude foundation model,Product page outlines Claude models; HQ and 1.3k staff confirmed via logged Wikipedia entry.
Google Gemini,foundation_model_providers,hyperscaler,na,10k_plus,Gemini 2.5 multimodal foundation models from Google DeepMind,https://deepmind.google/,https://deepmind.google/technologies/gemini/,html,2025-09-27,Google Gemini foundation model,DeepMind Gemini overview captures capabilities; Google HQ Mountain View recorded in search log.
Meta Llama,foundation_model_providers,independent_isv,na,10k_plus,Llama 4 open foundation models with multimodal and multilingual support,https://ai.meta.com/,https://ai.meta.com/llama/,html,2025-09-27,Meta Llama foundation model,Official Llama hub details latest models; Meta Menlo Park HQ verified via logged Wikipedia entry.
Cohere Command,foundation_model_providers,startup,na,200_499,"Command family of generative, reasoning, and multilingual foundation models",https://cohere.com/,https://docs.cohere.com/docs/models,html,2025-09-27,Cohere foundation model platform,"Cohere docs enumerate Command, Aya, and Embed models; Toronto HQ and 300 staff noted on Wikipedia."
Mistral AI Models,foundation_model_providers,startup,emea,50_199,"Mistral Large, Medium 3, and Magistral foundation models for enterprise reasoning",https://mistral.ai/,https://mistral.ai/models,html,2025-09-27,Mistral AI foundation model,Models catalog describes flagship offerings; Paris HQ and 150 employees logged via Wikipedia.
Amazon Titan Models,foundation_model_providers,hyperscaler,na,10k_plus,"Amazon Titan foundation models for text, multimodal intelligence, and media generation in Bedrock",https://aws.amazon.com/,https://aws.amazon.com/bedrock/amazon-models/titan/,html,2025-09-27,Amazon Titan foundation model,Bedrock Titan page details capabilities; Amazon Seattle HQ and workforce pulled from logged Wikipedia source.
AI21 Labs Jamba,foundation_model_providers,startup,emea,200_499,Jamba 1.6 hybrid Mamba-Transformer foundation models with 256K context for enterprise deployments,https://www.ai21.com/,https://www.ai21.com/jamba/,html,2025-09-27,AI21 Labs foundation models,Product page highlights Jamba long-context performance; employee count 259 (Craft human capital https://craft.co/ai21-labs/human-capital) and Tel Aviv HQ logged via Wikipedia.
Stability AI Foundation Models,foundation_model_providers,startup,emea,50_199,"Stable Diffusion, audio, video foundation models delivered via the Stability AI platform",https://stability.ai/,https://stability.ai/stable-image,html,2025-09-27,Stability AI foundation models,Models page outlines multimodal foundation portfolio; Craft human capital report lists 182 employees as of Jul 1 2025 (https://craft.co/stability-ai/human-capital) and London HQ captured via Wikipedia.
Aleph Alpha Luminous,foundation_model_providers,startup,emea,50_199,Luminous sovereign foundation models for governments and enterprises with transparency controls,https://aleph-alpha.com/,https://aleph-alpha.com/luminous/,html,2025-09-27,Aleph Alpha foundation models,Luminous overview details European sovereign foundation models; Wikipedia cites Heidelberg HQ and 51-200 employees (https://en.wikipedia.org/wiki/Aleph_Alpha).
Databricks DBRX,foundation_model_providers,independent_isv,na,5k_9k,DBRX fine-grained MoE foundation models served via Databricks APIs and downloads,https://www.databricks.com/,https://huggingface.co/databricks/dbrx-instruct,html,2025-09-27,Databricks DBRX foundation model doc,Hugging Face repo details architecture and availability; Databricks HQ San Francisco and ~8k employees confirmed via https://en.wikipedia.org/wiki/Databricks.
xAI Grok,foundation_model_providers,startup,na,1k_4k,Grok 4 frontier foundation model with API and SuperGrok subscription access,https://x.ai/,https://x.ai/grok,html,2025-09-27,xAI Grok foundation model details,"Product page outlines Grok real-time, coding, and multimodal capabilities; xAI Palo Alto HQ and 1,200+ staff referenced via https://en.wikipedia.org/wiki/X.AI."
Baidu Wenxin ERNIE,foundation_model_providers,hyperscaler,apac,10k_plus,ERNIE (Wenxin) foundation model family delivered through Baidu Qianfan developer platform,https://cloud.baidu.com/,https://cloud.baidu.com/product/wenxinworkshop.html,html,2025-09-27,Baidu ERNIE 4.0 foundation model,"Qianfan product page describes multi-layer ERNIE foundation models; Baidu Beijing HQ and 39,800 employees from https://en.wikipedia.org/wiki/Baidu."
Tencent Hunyuan,foundation_model_providers,hyperscaler,apac,10k_plus,Hunyuan large-language foundation model platform offered via Tencent Cloud,https://cloud.tencent.com/,https://cloud.tencent.com/product/hunyuan,html,2025-09-27,Tencent Hunyuan foundation model,Tencent Cloud page outlines Hunyuan capabilities; Tencent Shenzhen HQ and 105k employees documented at https://en.wikipedia.org/wiki/Tencent.
Huawei Pangu Large Models,foundation_model_providers,hyperscaler,apac,10k_plus,"Pangu NLP, CV, multimodal, scientific and prediction foundation models via Huawei Cloud",https://www.huaweicloud.com/,https://www.huaweicloud.com/intl/en-us/product/pangu.html,html,2025-09-27,Huawei Pangu foundation model,Huawei Cloud page details the Pangu foundation model stack; Huawei Shenzhen HQ and 208k employees sourced from https://en.wikipedia.org/wiki/Huawei.
G42 Jais,foundation_model_providers,independent_isv,emea,10k_plus,Jais Arabic-centric large language models developed with MBZUAI and Cerebras,https://www.g42.ai/,https://www.g42.ai/resources/news/meet-jais-worlds-most-advanced-arabic-llm-open-sourced-g42s-inception,html,2025-09-27,g42 jais foundation model,Press release details Jais training and positioning; G42 Abu Dhabi HQ and 25k employees cited via https://en.wikipedia.org/wiki/G42_%28company%29.
Adept ACT Foundation Models,foundation_model_providers,startup,na,50_199,ACT series text-to-action foundation models orchestrating software workflows,https://www.adept.ai/,https://www.adept.ai/press/press-release-series-b,html,2025-09-27,Adept ACT-2 foundation model,Series B release outlines ACT-1/ACT-2 capabilities; LinkedIn company page https://www.linkedin.com/company/adeptai reports 51-200 employees with HQ in San Francisco.
